date,USD_par_habitant,euros_par_habitant,fraction_depot_banque,fraction_assurance_vie,fraction_fonds_communs,fraction_fond_pension,fraction_titres_non_action,fraction_actions
1995,30124.0732091724,39041.10231572077,0.3848883,0.18877590000000002,0.1190572,0.0,0.06403753,0.1621906
1996,35393.020461276,44321.926566913804,0.3421841,0.1910613,0.0986097,0.0,0.050184030000000004,0.2497021
1997,38383.1173629807,43417.788132698304,0.3372222,0.21019870000000002,0.09057123,0.0,0.04143938999999999,0.2489134
1998,41096.717584613,46122.7530066977,0.3309556,0.2203236,0.09364978,0.0,0.038179029999999996,0.2509241
1999,46373.3331794547,49427.234994959894,0.3065268,0.22252780000000003,0.09486459,0.0,0.02874568,0.2821375
2000,48695.0140871852,44883.17892038681,0.2939384,0.2380484,0.09276886,0.0,0.03359441,0.27537120000000004
2001,48263.7452236105,43259.73748400084,0.3072563,0.2591171,0.09511181,0.0,0.0366234,0.2316971
2002,48711.5208035703,45955.240374036526,0.3239461,0.2696462,0.08733805,0.0,0.03183976,0.21019020000000002
2003,50045.6386817492,56566.3705607301,0.3158334,0.27415,0.08925380000000001,0.0,0.025624699999999997,0.2178883
2004,52250.2604724925,64995.436319625565,0.3099246,0.2863343,0.08451702,0.0,0.0234848,0.22641950000000002
2005,56939.6832834998,70679.89580481971,0.29892589999999997,0.2959835,0.08325342,0.0,0.021482670000000002,0.2309749
2006,64590.0198217955,81171.8134918811,0.2741662,0.304602,0.08660945999999999,0.0,0.01882784,0.2499852
2007,68146.6685738678,93342.23213742576,0.2702658,0.3099314,0.08039674,0.0,0.019659819999999998,0.2501396
2008,63494.3549144316,92894.96970798909,0.3032488,0.33570059999999996,0.07869177,0.0,0.02226518,0.182804
2009,69602.9583083791,96729.06088807018,0.2854533,0.3380417,0.07399354,0.0,0.023718859999999998,0.1907351
2010,74447.5586279785,98736.19746843236,0.2768277,0.3414513,0.06745382,0.0,0.02041872,0.1965468
2011,75944.4174396982,105653.48724045,0.29100149999999997,0.3422599,0.06428801,0.0,0.02013693,0.1833632
2012,78168.9429695076,100492.1044484483,0.2918132,0.3402637,0.06590527,0.0,0.02148337,0.19869140000000002
2013,83675.5780675855,111114.34730417086,0.2895119,0.3422649,0.06743046999999999,0.0,0.01967309,0.19945859999999999
2014,86574.3201690623,114814.89937176966,0.2853603,0.345779,0.06578434,0.0,0.01730914,0.1998357
2015,91257.9777514004,101273.45503879045,0.2785407,0.33889159999999996,0.07148288,0.0,0.014039820000000001,0.2125729
2016,99436.5857016162,109940.05071264428,0.2749834,0.367581,0.057047980000000005,0.0,0.01162924,0.2141553
2017,105538.988487244,119197.95039054484,0.2733663,0.3542939,0.059217570000000004,0.0,0.009398066,0.2227723
2018,105158.554840965,123810.5214633287,0.291529,0.3566704,0.05062344999999999,0.0,0.0077621059999999995,0.215888
2019,120978.986934489,135805.80995896133,0.2815476,0.3542598,0.05142387,0.0,0.007043789999999999,0.2298919
2020,127422.7632865,145312.57914503865,0.29532,0.3471058,0.047431400000000006,0.0,0.006110414,0.22544609999999998
2021,133931.200176757,158317.5022089995,0.2949069,0.3304951,0.046809399999999994,0.0,0.005524937,0.24278860000000002
