date,emprunts_M€
2024-07,16442
2024-06,13017
2024-05,10709
2024-04,10817
2024-03,9751
2024-02,8811
2024-01,9487
2023-12,11993
2023-11,10947
2023-10,11866
2023-09,11439
2023-08,13580
2023-07,15168
2023-06,16035
2023-05,15323
2023-04,14689
2023-03,15818
2023-02,13981
2023-01,15708
2022-12,19133
2022-11,17968
2022-10,18201
2022-09,19612
2022-08,24113
2022-07,27413
2022-06,27962
2022-05,27803
2022-04,26277
2022-03,27034
2022-02,21939
2022-01,22674
2021-12,27153
2021-11,22690
2021-10,23989
2021-09,24198
2021-08,26094
2021-07,31737
2021-06,31448
2021-05,25751
2021-04,24552
2021-03,23385
2021-02,18043
2021-01,17809
2020-12,25536
2020-11,21517
2020-10,23813
2020-09,23054
2020-08,21034
2020-07,23378
2020-06,21983
2020-05,21533
2020-04,23287
2020-03,20838
2020-02,23857
2020-01,24202
2019-12,28234
2019-11,22800
2019-10,25462
2019-09,21817
2019-08,23149
2019-07,28944
2019-06,22068
2019-05,18821
2019-04,19541
2019-03,18542
2019-02,17171
2019-01,18514
2018-12,20515
2018-11,17357
2018-10,19018
2018-09,16538
2018-08,19754
2018-07,22982
2018-06,19928
2018-05,17191
2018-04,16737
2018-03,17150
2018-02,14640
2018-01,17352
2017-12,19749
2017-11,16668
2017-10,15251
2017-09,14950
2017-08,17781
2017-07,24486
2017-06,26092
2017-05,26965
2017-04,27738
2017-03,34221
2017-02,32818
2017-01,39062
2016-12,38294
2016-11,30054
2016-10,26923
2016-09,27456
2016-08,27872
2016-07,26555
2016-06,23978
2016-05,18022
2016-04,15919
2016-03,15292
2016-02,14154
2016-01,13004
2015-12,18549
2015-11,17173
2015-10,18781
2015-09,22385
2015-08,22640
2015-07,26142
2015-06,21720
2015-05,15367
2015-04,16895
2015-03,15864
2015-02,12924
2015-01,12247
2014-12,13207
2014-11,9389
2014-10,9740
2014-09,9593
2014-08,10219
2014-07,12442
2014-06,10446
2014-05,8746
2014-04,9390
2014-03,8698
2014-02,10184
2014-01,10004
2013-12,13577
2013-11,11303
2013-10,14115
2013-09,12955
2013-08,14605
2013-07,17011
2013-06,13595
2013-05,12634
2013-04,12379
2013-03,10509
2013-02,8372
2013-01,9665
2012-12,9618
2012-11,7095
2012-10,8133
2012-09,6987
2012-08,8360
2012-07,9782
2012-06,8784
2012-05,7158
2012-04,6905
2012-03,7608
2012-02,6341
2012-01,11831
2011-12,14081
2011-11,9020
2011-10,8624
2011-09,9140
2011-08,10222
2011-07,11717
2011-06,12513
2011-05,13118
2011-04,12442
2011-03,15288
2011-02,13459
2011-01,14580
2010-12,23221
2010-11,14947
2010-10,12606
2010-09,13193
2010-08,13677
2010-07,16297
2010-06,14148
